No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gryoY,gyroZ,gps_latitude,gps_longtitude,gps_time
80,26.1,100710.0,0.042,0.034,-0.915,-50.0,-55.0,-10.0,2.99,1.647,14.16,0.0,0.0,0
81,26.1,100696.0,0.062,-0.016,-0.988,-50.0,-55.0,-10.0,-16.174,4.455,9.643,0.0,0.0,0
82,26.1,100707.0,0.13,-0.007,-0.919,-50.0,-55.0,-10.0,1.464,3.967,17.456,0.0,0.0,0
83,26.1,100708.0,0.062,0.031,-1.004,-50.0,-55.0,-10.0,2.258,0.305,22.338,0.0,0.0,0
84,26.1,100713.0,0.042,0.027,-1.029,-50.0,-55.0,-10.0,-15.319,-0.61,31.86,0.0,0.0,0
85,26.1,100709.0,0.019,0.044,-0.997,-50.0,-55.0,-10.0,1.647,-8.361,23.62,0.0,0.0,0
86,26.1,100709.0,0.027,0.043,-1.018,-50.0,-55.0,-10.0,-0.854,-12.695,20.324,0.0,0.0,0
87,26.1,100705.0,0.028,-0.007,-1.012,-50.0,-55.0,-10.0,-10.803,2.746,20.507,0.0,0.0,0
88,26.1,100706.0,0.072,0.041,-0.949,-50.0,-55.0,-10.0,-5.615,3.295,7.324,0.0,0.0,0
89,26.1,100703.0,0.065,0.055,-0.914,-50.0,-55.0,-10.0,-12.39,-12.329,5.004,0.0,0.0,0
90,26.1,100700.0,0.068,0.012,-1.045,-50.0,-55.0,-10.0,-18.188,-6.53,1.647,0.0,0.0,0
91,26.1,100705.0,0.039,0.025,-0.987,-50.0,-55.0,-10.0,-6.103,-9.338,4.516,0.0,0.0,0
92,26.1,100706.0,0.066,0.024,-0.971,-50.0,-55.0,-10.0,14.404,2.868,4.028,0.0,0.0,0
93,26.1,100700.0,0.059,0.062,-0.937,-50.0,-55.0,-10.0,2.014,5.371,-0.854,0.0,0.0,0
94,26.1,100701.0,0.025,0.039,-1.034,-50.0,-55.0,-10.0,-0.793,9.521,-1.159,0.0,0.0,0
95,26.1,100703.0,0.065,0.053,-0.956,-50.0,-55.0,-10.0,2.258,-2.258,0.793,0.0,0.0,0
96,26.1,100700.0,0.012,0.065,-0.996,-50.0,-55.0,-10.0,-2.99,-3.479,2.868,0.0,0.0,0
97,26.1,100703.0,0.066,0.028,-0.96,-50.0,-55.0,-10.0,-4.028,3.112,-2.441,0.0,0.0,0
98,26.1,100705.0,0.053,0.035,-1.057,-50.0,-55.0,-10.0,3.723,8.972,8.789,0.0,0.0,0
99,26.1,100714.0,0.039,0.101,-0.981,-50.0,-55.0,-10.0,12.145,7.446,-0.793,0.0,0.0,0
100,26.1,100715.0,0.023,0.083,-0.995,-50.0,-55.0,-10.0,-12.329,0.854,3.479,0.0,0.0,0
101,26.1,100699.0,0.011,0.068,-0.971,-50.0,-55.0,-10.0,-4.394,-10.742,1.892,0.0,0.0,0
102,26.1,100708.0,0.049,0.059,-0.921,-50.0,-55.0,-10.0,-13.122,-4.394,-9.338,0.0,0.0,0
103,26.1,100707.0,0.009,0.064,-0.995,-50.0,-55.0,-10.0,-18.371,-2.685,-5.126,0.0,0.0,0
104,26.1,100693.0,0.011,0.036,-1.022,-50.0,-55.0,-10.0,0.671,-3.54,0.854,0.0,0.0,0
105,26.1,100697.0,0.002,0.051,-0.949,-50.0,-55.0,-10.0,-8.605,-1.464,-0.427,0.0,0.0,0
106,26.1,100706.0,0.014,0.05,-0.969,-50.0,-55.0,-10.0,-13.732,-10.742,5.676,0.0,0.0,0
107,26.1,100704.0,0.015,0.024,-1.001,-50.0,-55.0,-10.0,-6.042,1.586,5.92,0.0,0.0,0
108,26.1,100708.0,0.041,0.023,-0.993,-50.0,-55.0,-10.0,3.112,-0.915,10.009,0.0,0.0,0
109,26.1,100707.0,0.039,0.0,-1.06,-50.0,-55.0,-10.0,-4.821,5.493,9.277,0.0,0.0,0
110,26.1,100706.0,0.034,0.055,-0.951,-50.0,-55.0,-10.0,-5.676,0.976,10.742,0.0,0.0,0
111,26.1,100701.0,0.076,0.04,-0.97,-50.0,-55.0,-10.0,-9.826,-6.774,11.718,0.0,0.0,0
112,26.1,100699.0,0.082,0.069,-0.925,-50.0,-55.0,-10.0,-3.967,-8.178,6.652,0.0,0.0,0
113,26.1,100703.0,0.031,0.061,-1.025,-50.0,-55.0,-10.0,-7.507,-0.305,-4.211,0.0,0.0,0
114,26.1,100699.0,0.027,0.045,-0.999,-50.0,-55.0,-10.0,-7.446,3.845,-7.751,0.0,0.0,0
115,26.1,100706.0,0.049,0.059,-0.96,-50.0,-55.0,-10.0,2.807,-14.099,-5.92,0.0,0.0,0
116,26.1,100708.0,0.047,0.046,-0.978,-50.0,-55.0,-10.0,-14.953,-5.615,-6.408,0.0,0.0,0
117,26.1,100710.0,0.045,0.038,-0.956,-50.0,-55.0,-10.0,-3.662,2.624,-4.516,0.0,0.0,0
118,26.1,100701.0,0.052,0.053,-1.02,-50.0,-55.0,-10.0,0.122,2.929,-8.056,0.0,0.0,0
119,26.1,100710.0,0.062,0.033,-1.003,-50.0,-55.0,-10.0,-3.112,2.563,-1.831,0.0,0.0,0
120,26.1,100711.0,0.053,0.031,-0.998,-50.0,-55.0,-10.0,-7.202,-16.784,6.835,0.0,0.0,0
121,26.1,100704.0,0.057,0.018,-0.997,-50.0,-55.0,-10.0,2.075,1.464,-6.469,0.0,0.0,0
122,26.1,100711.0,0.018,0.081,-0.992,-50.0,-55.0,-10.0,14.465,24.963,-13.305,0.0,0.0,0
123,26.1,100707.0,0.038,0.064,-0.925,-50.0,-55.0,-10.0,-1.586,0.244,-20.751,0.0,0.0,0
124,26.1,100713.0,0.026,0.026,-0.999,-50.0,-55.0,-10.0,-29.479,-20.263,-21.301,0.0,0.0,0
125,26.1,100705.0,0.053,-0.001,-0.993,-50.0,-55.0,-10.0,2.258,5.493,-6.469,0.0,0.0,0
126,26.1,100709.0,0.029,0.027,-0.963,-50.0,-55.0,-10.0,-12.084,-10.498,1.464,0.0,0.0,0
127,26.1,100701.0,0.049,0.01,-1.004,-50.0,-55.0,-10.0,-2.685,-3.356,3.051,0.0,0.0,0
128,26.1,100701.0,0.065,0.039,-0.924,-50.0,-55.0,-10.0,0.061,-3.234,10.681,0.0,0.0,0
129,26.1,100704.0,-0.003,0.011,-1.071,-50.0,-55.0,-10.0,2.136,4.455,15.502,0.0,0.0,0
130,26.1,100703.0,0.14,-0.009,-0.948,-50.0,-55.0,-10.0,5.126,-5.371,19.348,0.0,0.0,0
131,26.1,100701.0,-0.005,0.033,-1.042,-50.0,-55.0,-10.0,-12.023,10.986,5.92,0.0,0.0,0
132,26.1,100707.0,0.064,0.034,-1.032,-50.0,-55.0,-10.0,7.507,-9.948,17.333,0.0,0.0,0
133,26.1,100701.0,0.05,0.071,-0.976,-50.0,-55.0,-10.0,-20.629,3.784,3.112,0.0,0.0,0
134,26.1,100703.0,0.067,0.043,-0.991,-50.0,-55.0,-10.0,-10.009,1.098,-5.676,0.0,0.0,0
135,26.1,100703.0,0.045,0.082,-0.93,-50.0,-55.0,-10.0,4.028,0.122,0.854,0.0,0.0,0
136,26.1,100701.0,0.057,0.059,-0.922,-50.0,-55.0,-10.0,-11.657,-6.286,0.061,0.0,0.0,0
137,26.1,100708.0,0.043,0.013,-1.047,-50.0,-55.0,-10.0,-22.521,-15.38,-4.089,0.0,0.0,0
138,26.1,100694.0,0.108,0.037,-0.988,-50.0,-55.0,-10.0,3.112,6.286,0.427,0.0,0.0,0
139,26.1,100697.0,0.108,0.095,-0.98,-50.0,-55.0,-10.0,8.422,6.896,3.54,0.0,0.0,0
