No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gryoY,gyroZ,gps_latitude,gps_longtitude,gps_time
79,27.1,100759.0,0.04,0.068,-1.079,-50.0,-55.0,-10.0,2.38,15.869,-21.667,0.0,0.0,0
80,27.1,100762.0,0.096,0.019,-0.915,-50.0,-55.0,-10.0,5.615,-9.216,-15.991,0.0,0.0,0
81,27.2,100769.0,0.025,0.062,-1.019,-50.0,-55.0,-10.0,9.826,17.761,-16.662,0.0,0.0,0
82,27.1,100771.0,0.094,0.039,-0.947,-50.0,-55.0,-10.0,-14.16,-16.113,-10.07,0.0,0.0,0
83,27.2,100772.0,0.042,0.054,-1.0,-50.0,-55.0,-10.0,6.896,8.85,-6.591,0.0,0.0,0
84,27.1,100776.0,0.054,0.042,-1.0,-50.0,-55.0,-10.0,-8.728,3.234,-0.915,0.0,0.0,0
85,27.1,100773.0,0.083,0.063,-1.013,-50.0,-55.0,-10.0,-9.582,3.479,5.126,0.0,0.0,0
86,27.1,100775.0,0.078,0.02,-0.941,-50.0,-55.0,-10.0,-13.0,-11.108,-2.38,0.0,0.0,0
87,27.1,100769.0,0.048,0.033,-1.038,-50.0,-55.0,-10.0,-2.807,7.507,1.586,0.0,0.0,0
88,27.1,100770.0,0.036,0.011,-0.964,-50.0,-55.0,-10.0,-7.019,-10.314,-3.967,0.0,0.0,0
89,27.2,100769.0,0.035,0.026,-1.08,-50.0,-55.0,-10.0,-9.521,15.441,2.563,0.0,0.0,0
90,27.1,100769.0,0.004,-0.009,-0.973,-50.0,-55.0,-10.0,-4.211,-1.037,-7.629,0.0,0.0,0
91,27.1,100770.0,0.046,-0.057,-0.905,-50.0,-55.0,-10.0,-16.052,-1.281,-9.948,0.0,0.0,0
92,27.1,100768.0,0.085,0.004,-0.986,-50.0,-55.0,-10.0,6.164,2.868,-13.549,0.0,0.0,0
93,27.1,100772.0,0.076,-0.033,-0.971,-50.0,-55.0,-10.0,-7.08,-3.051,-22.583,0.0,0.0,0
94,27.1,100765.0,0.045,0.025,-1.08,-50.0,-55.0,-10.0,-2.136,-10.07,-24.291,0.0,0.0,0
95,27.2,100769.0,0.031,-0.001,-0.97,-50.0,-55.0,-10.0,-13.183,-12.268,-18.249,0.0,0.0,0
96,27.1,100772.0,0.007,0.076,-1.088,-50.0,-55.0,-10.0,6.896,-4.272,-14.709,0.0,0.0,0
97,27.2,100770.0,0.033,-0.02,-0.918,-50.0,-55.0,-10.0,-2.258,3.967,3.54,0.0,0.0,0
98,27.1,100770.0,0.01,0.01,-0.979,-50.0,-55.0,-10.0,-5.798,-5.432,8.3,0.0,0.0,0
99,27.1,100769.0,0.074,0.045,-0.956,-50.0,-55.0,-10.0,-7.751,2.563,13.732,0.0,0.0,0
100,27.2,100768.0,0.078,0.057,-1.005,-50.0,-55.0,-10.0,-6.469,-1.831,13.0,0.0,0.0,0
101,27.1,100771.0,0.102,-0.004,-0.968,-50.0,-55.0,-10.0,-6.713,3.173,22.827,0.0,0.0,0
102,27.2,100768.0,0.015,0.001,-1.011,-50.0,-55.0,-10.0,-13.366,4.15,36.315,0.0,0.0,0
103,27.1,100763.0,-0.02,0.022,-1.005,-50.0,-55.0,-10.0,-3.723,9.094,42.297,0.0,0.0,0
104,27.2,100768.0,0.046,-0.033,-0.939,-50.0,-55.0,-10.0,-15.563,-7.324,50.231,0.0,0.0,0
105,27.1,100771.0,0.11,0.04,-1.032,-50.0,-55.0,-10.0,-19.836,-11.657,59.814,0.0,0.0,0
106,27.1,100768.0,0.019,0.035,-1.026,-50.0,-55.0,-10.0,15.319,15.869,54.87,0.0,0.0,0
107,27.1,100770.0,0.002,-0.02,-1.004,-50.0,-55.0,-10.0,11.169,3.906,52.062,0.0,0.0,0
108,27.1,100770.0,0.011,0.032,-0.996,-50.0,-55.0,-10.0,1.342,-0.671,43.151,0.0,0.0,0
109,27.2,100771.0,0.023,-0.015,-0.948,-50.0,-55.0,-10.0,-8.666,-0.183,40.1,0.0,0.0,0
110,27.2,100771.0,0.036,0.0,-0.968,-50.0,-55.0,-10.0,-9.216,3.112,39.001,0.0,0.0,0
111,27.1,100765.0,0.09,0.026,-0.953,-50.0,-55.0,-10.0,-2.502,-8.789,35.888,0.0,0.0,0
112,27.1,100769.0,0.039,0.055,-1.001,-50.0,-55.0,-10.0,-10.253,-11.901,24.108,0.0,0.0,0
113,27.2,100775.0,0.125,0.007,-0.961,-50.0,-55.0,-10.0,-16.113,-8.85,36.315,0.0,0.0,0
114,27.1,100767.0,0.035,0.001,-1.013,-50.0,-55.0,-10.0,-12.084,0.122,30.09,0.0,0.0,0
115,27.2,100773.0,-0.005,0.087,-1.061,-50.0,-55.0,-10.0,5.615,-5.859,17.7,0.0,0.0,0
116,27.1,100768.0,0.112,-0.034,-0.811,-50.0,-55.0,-10.0,-18.432,11.84,16.174,0.0,0.0,0
117,27.2,100770.0,-0.102,0.033,-1.127,-50.0,-55.0,-10.0,4.394,24.108,11.23,0.0,0.0,0
118,27.1,100767.0,0.013,0.041,-0.956,-50.0,-55.0,-10.0,-13.061,4.333,15.747,0.0,0.0,0
119,27.2,100767.0,-0.021,0.066,-1.012,-50.0,-55.0,-10.0,-13.427,-0.915,24.169,0.0,0.0,0
120,27.2,100772.0,-0.005,0.056,-0.966,-50.0,-55.0,-10.0,-8.544,-6.713,25.451,0.0,0.0,0
121,27.1,100763.0,-0.033,0.055,-1.031,-50.0,-55.0,-10.0,0.61,-10.192,22.949,0.0,0.0,0
122,27.1,100763.0,0.02,0.019,-0.988,-50.0,-55.0,-10.0,-8.972,-13.916,22.949,0.0,0.0,0
123,27.2,100760.0,-0.008,0.001,-1.052,-50.0,-55.0,-10.0,9.094,10.253,26.367,0.0,0.0,0
124,27.2,100763.0,-0.013,-0.042,-1.042,-50.0,-55.0,-10.0,4.577,-4.089,17.15,0.0,0.0,0
125,27.2,100776.0,0.047,-0.049,-0.981,-50.0,-55.0,-10.0,5.615,-2.563,8.361,0.0,0.0,0
126,27.2,100767.0,0.045,-0.025,-0.988,-50.0,-55.0,-10.0,-7.385,3.173,2.929,0.0,0.0,0
127,27.2,100772.0,0.078,-0.051,-0.934,-50.0,-55.0,-10.0,-11.474,-4.15,2.38,0.0,0.0,0
128,27.2,100763.0,0.073,-0.013,-0.95,-50.0,-55.0,-10.0,-11.596,-3.54,-0.427,0.0,0.0,0
129,27.2,100768.0,0.071,0.002,-0.991,-50.0,-55.0,-10.0,-4.699,-5.432,-3.967,0.0,0.0,0
130,27.2,100775.0,0.086,-0.007,-0.999,-50.0,-55.0,-10.0,-3.295,-12.207,0.732,0.0,0.0,0
131,27.2,100765.0,0.11,0.007,-0.994,-50.0,-55.0,-10.0,0.732,-10.498,-12.451,0.0,0.0,0
132,27.2,100770.0,0.075,0.087,-1.11,-50.0,-55.0,-10.0,14.221,13.671,-14.709,0.0,0.0,0
133,27.2,100762.0,0.134,0.01,-0.96,-50.0,-55.0,-10.0,8.972,-7.629,-18.676,0.0,0.0,0
134,27.2,100762.0,0.045,0.049,-1.033,-50.0,-55.0,-10.0,-5.31,10.559,-15.991,0.0,0.0,0
135,27.2,100775.0,0.053,0.051,-0.979,-50.0,-55.0,-10.0,-11.474,2.319,-28.442,0.0,0.0,0
136,27.2,100763.0,0.084,0.029,-0.935,-50.0,-55.0,-10.0,-19.531,5.615,-15.136,0.0,0.0,0
137,27.2,100771.0,0.067,0.038,-0.98,-50.0,-55.0,-10.0,-10.925,-3.845,-9.887,0.0,0.0,0
138,27.2,100776.0,0.086,0.026,-0.963,-50.0,-55.0,-10.0,-9.887,-0.488,-6.713,0.0,0.0,0
139,27.2,100764.0,0.047,0.022,-1.036,-50.0,-55.0,-10.0,-9.582,-7.385,0.427,0.0,0.0,0
140,27.2,100769.0,0.073,-0.03,-0.939,-50.0,-55.0,-10.0,-7.141,-13.793,0.061,0.0,0.0,0
