No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gyroY,gyroZ,gps_latitude,gps_longtitude,gps_time,highte,accel
52,27.2,100528.0,-0.063,0.208,-1.002,-50.0,-55.0,-10.0,0.549,7.69,-6.347,0.0,0.0,0,69.46369798715304,0.5256185
53,27.2,100517.0,-0.045,0.202,-1.082,-50.0,-55.0,-10.0,-0.244,-35.888,-7.08,0.0,0.0,0,70.42700031308667,0.6067765
54,27.2,100518.0,0.038,0.203,-1.023,-50.0,-55.0,-10.0,-22.705,4.333,26.55,0.0,0.0,0,70.3394221897156,0.5445909999999999
55,27.2,100519.0,0.01,0.232,-1.043,-50.0,-55.0,-10.0,-6.469,-14.953,5.31,0.0,0.0,0,70.25184510335004,0.5708865
56,27.2,100521.0,0.065,0.198,-1.029,-50.0,-55.0,-10.0,-26.733,11.962,43.884,0.0,0.0,0,70.07669404151237,0.5511349999999999
57,27.2,100519.0,-0.035,0.195,-0.973,-50.0,-55.0,-10.0,-36.682,25.817,36.926,0.0,0.0,0,70.25184510335004,0.49298949999999997
58,27.2,100524.0,-0.065,0.114,-0.958,-50.0,-55.0,-10.0,-22.033,12.023,34.912,0.0,0.0,0,69.81397522566111,0.4674925
59,27.2,100526.0,-0.059,0.084,-0.955,-50.0,-55.0,-10.0,-12.023,-12.512,34.362,0.0,0.0,0,69.63883453277053,0.461281
60,27.2,100521.0,-0.093,0.09,-1.072,-50.0,-55.0,-10.0,-2.868,-38.452,4.333,0.0,0.0,0,70.07669404151237,0.5829665
61,27.2,100518.0,-0.064,0.122,-1.136,-50.0,-55.0,-10.0,6.652,-0.122,-22.766,0.0,0.0,0,70.3394221897156,0.6547379999999999
62,27.2,100516.0,-0.114,0.123,-1.175,-50.0,-55.0,-10.0,-2.685,9.216,-13.366,0.0,0.0,0,70.51457947347352,0.7043750000000001
63,27.2,100515.0,-0.159,0.088,-1.14,-50.0,-55.0,-10.0,-26.184,45.41,-2.441,0.0,0.0,0,70.60215967089668,0.6663125
64,27.2,100516.0,-0.201,0.062,-1.03,-50.0,-55.0,-10.0,-20.874,0.488,-16.54,0.0,0.0,0,70.51457947347352,0.5525725
65,27.2,100518.0,-0.225,-0.012,-0.925,-50.0,-55.0,-10.0,-24.047,36.01,-15.502,0.0,0.0,0,70.3394221897156,0.453197
66,27.2,100514.0,-0.245,0.03,-0.888,-50.0,-55.0,-10.0,-8.666,26.0,-21.362,0.0,0.0,0,70.68974090538691,0.4247345
67,27.2,100518.0,-0.251,0.0,-0.847,-50.0,-55.0,-10.0,-32.958,41.564,10.864,0.0,0.0,0,70.3394221897156,0.39020499999999997
68,27.2,100512.0,-0.353,-0.085,-0.862,-50.0,-55.0,-10.0,-31.005,47.668,34.301,0.0,0.0,0,70.86490648566097,0.43743899999999997
69,27.2,100519.0,-0.505,-0.174,-0.831,-50.0,-55.0,-10.0,-12.573,-20.874,-10.62,0.0,0.0,0,70.25184510335004,0.487931
70,27.2,100518.0,-0.435,-0.194,-0.991,-50.0,-55.0,-10.0,67.199,-50.476,-7.934,0.0,0.0,0,70.3394221897156,0.604471
